State,Candidate,Vote_Difference
District of Columbia,Harris,+84
Vermont,Harris,+32
Maryland,Harris,+26
Massachusetts,Harris,+25
Hawaii,Harris,+21
Maine 1st District,Harris,+21
California,Harris,+20
Washington,Harris,+16
Delaware,Harris,+14
Connecticut,Harris,+14
Rhode Island,Harris,+13
New York,Harris,+12
Oregon,Harris,+12
Colorado,Harris,+10
Illinois,Harris,+10
Maine,Harris,+6.3
New Mexico,Harris,+5.9
New Jersey,Harris,+5.4
Virginia,Harris,+5.2
Minnesota,Harris,+4.3
Nebraska 2nd District,Harris,+3.8
New Hampshire,Harris,+2.9
Wisconsin,Trump,+1.1
Michigan,Trump,+1.5
Pennsylvania,Trump,+2.1
Georgia,Trump,+2.3
North Carolina,Trump,+3.4
Arizona,Trump,+4.3
Nevada,Trump,+4.6
Maine 2nd District,Trump,+9.6
Ohio,Trump,+11
Alaska,Trump,+13
Iowa,Trump,+13
Florida,Trump,+13
Texas,Trump,+14
Nebraska 1st District,Trump,+14
Kansas,Trump,+17
South Carolina,Trump,+18
Missouri,Trump,+18
Indiana,Trump,+19
Montana,Trump,+20
Nebraska,Trump,+22
Louisiana,Trump,+22
Mississippi,Trump,+23
Utah,Trump,+23
South Dakota,Trump,+30
Tennessee,Trump,+30
Kentucky,Trump,+31
Alabama,Trump,+31
Arkansas,Trump,+31
Oklahoma,Trump,+34
Idaho,Trump,+36
North Dakota,Trump,+37
West Virginia,Trump,+42
Wyoming,Trump,+46
Nebraska 3rd District,Trump,+54
